Prod Num,Product,CategoryID,SubcategoryID
105248-IT,TCL NXTPAPER 10s,120,120-tab
105249-IT,Dell Latitude 7320 Detachable,120,120-tab
105250-IT,Realme Pad,120,120-tab
105251-IT,Lenovo Tab P12 Pro,120,120-tab
105252-IT,Microsoft Surface Pro 9,120,120-tab
105253-IT,"Apple iPad Pro (12.9-inch, M2)",120,120-tab
105254-IT,Chuwi HiPad Max,120,120-tab
105255-IT,Lenovo Yoga Smart Tab,120,120-tab
105256-IT,ASUS Vivobook 13 Slate OLED,120,120-tab
105257-IT,Samsung Galaxy Tab S9 Ultra,120,120-tab
105258-IT,Apple iPad Air (10.9-inch),120,120-tab
105259-IT,Teclast T40 Pro,120,120-tab
105260-IT,Acer Enduro Urban T1,120,120-tab
105261-IT,Samsung Galaxy Tab A8,120,120-tab
105262-IT,Apple iPad Mini,120,120-tab
105263-IT,Casio fx-9750GII,120,120-cal
105264-IT,Casio fx-CG50,120,120-cal
105265-IT,Texas Instruments TI-89 Titanium,120,120-cal
105266-IT,Texas Instruments TI-84 Plus CE,120,120-cal
105267-IT,GitHub Pro,120,120-sof
105268-IT,Sketch App License,120,120-sof
105269-IT,Slack Premium,120,120-sof
105270-IT,Notion Pro,120,120-sof
105271-IT,Zoom Video Conferencing Pro License,120,120-sof
105272-IT,Java Development Kit (JDK),120,120-sof
105273-IT,Python Programming Language Installer,120,120-sof
105274-IT,Visual Studio 2022,120,120-sof
105275-IT,Intuit QuickBooks Student Edition,120,120-sof
105276-IT,Final Draft 12,120,120-sof
105277-IT,Zotero Citation Manager,120,120-sof
105278-IT,Tableau Desktop,120,120-sof
105279-IT,Evernote Premium,120,120-sof
105280-IT,MATLAB Student Edition,120,120-sof
105281-IT,AutoDesk AutoCAD,120,120-sof
105282-IT,Microsoft Office 365,120,120-sof
105283-IT,Adobe Creative Cloud Suite,120,120-sof
105284-IT,Sharp EL-W516T,120,120-cal
105285-IT,Bose SoundSport Free,120,120-hea
105286-IT,Logitech G PRO X Wireless,120,120-hea
105287-IT,SteelSeries Arctis 7+,120,120-hea
105288-IT,HyperX Cloud II Wireless,120,120-hea
105289-IT,Audio-Technica ATH-M50xBT2,120,120-hea
105290-IT,Shure AONIC 50,120,120-hea
105291-IT,Anker Soundcore Life Q30,120,120-hea
105292-IT,Jabra Elite 85h,120,120-hea
105293-IT,Skullcandy Crusher Evo,120,120-hea
105294-IT,Samsung Galaxy Buds 2 Pro,120,120-hea
105295-IT,JBL Live 660NC,120,120-hea
105296-IT,Bose QuietComfort 45,120,120-hea
105297-IT,Beats Studio Buds,120,120-hea
105298-IT,Sony WH-1000XM5,120,120-hea
105299-IT,Apple AirPods Pro 2nd Gen,120,120-hea
105300-IT,AVerMedia Live Streamer CAM 513,120,120-ext
105301-IT,Philips Hue Play HDMI Sync Box,120,120-ext
105302-IT,Sony ECM-W2BT Wireless Microphone,120,120-ext
105303-IT,RODE NT-USB Mini Microphone,120,120-ext
105304-IT,Blue Yeti Nano USB Microphone,120,120-ext
105305-IT,Logitech StreamCam,120,120-ext
105306-IT,Elgato Stream Deck MK,120,120-ext
105307-IT,Seagate Backup Plus Hub (8TB),120,120-ext
105308-IT,WD My Passport HDD (4TB),120,120-ext
105309-IT,Samsung T7 Touch Portable SSD (2TB),120,120-ext
105310-IT,Anker PowerExpand USB-C Dock,120,120-ext
105311-IT,Corsair K95 RGB Platinum Keyboard,120,120-ext
105312-IT,Apple Magic Keyboard,120,120-ext
105313-IT,Logitech MX Master 3S Mouse,120,120-ext
105314-IT,Logitech K780 Multi-Device Keyboard,120,120-ext
105315-IT,UGREEN Nexode 140W USB-C Charger,120,120-cha
105316-IT,ASUS USB-C 65W Charger,120,120-cha
105317-IT,Microsoft Surface 65W Power Supply,120,120-cha
105318-IT,Aukey Omnia 65W Fast Charger,120,120-cha
105319-IT,RAVPower 60W 6-Port USB Charger,120,120-cha
105320-IT,Belkin BoostCharge 32W USB-C Wall Charger,120,120-cha
105321-IT,Dell 130W USB-C Charger,120,120-cha
105322-IT,Apple 67W USB-C Power Adapter,120,120-cha
105323-IT,Apple MagSafe Charger,120,120-cha
105324-IT,Lenovo IdeaPad Flex 5,120,120-lap
105325-IT,"Apple MacBook Pro (M2, 14-inch)",120,120-lap
105326-IT,"Apple MacBook Air (M2, 13-inch)",120,120-lap
105327-IT,Lenovo ThinkPad X1 Carbon,120,120-lap
105328-IT,HP Envy 15,120,120-lap
105329-IT,Acer Aspire 5,120,120-lap
105330-IT,LG Gram 17,120,120-lap
105331-IT,Acer Chromebook Spin 713,120,120-lap
105332-IT,HP Spectre x360,120,120-lap
105333-IT,ASUS VivoBook S15,120,120-lap
105334-IT,Samsung Galaxy Book Pro,120,120-lap
